Butter flavoured Oil,"Vegetable Oil (Rapeseed Oil, Palm Oil), Salt, Emulsifier: E322; Natural Flavouring (Milk), Colour: E160a.",,,,,,,x,,,,,,,,x
Cheese & Herb Sauce,"Soft Cheese Curd (Milk), Cheddar Cheese (Milk), Water, Quark (Milk), Skimmed Milk Powder, Emulsifiers: E331,E339, E450, E452; Starch, Garlic Powder, Preservative: Potassium Sorbate, Mixed Herbs.",,,,,,,x,,,,,,,,x
"Frank's Red Hot Original CayennePepper Sauce","Aged Cayenne Red Peppers (35%), Distilled Spirit Vinegar, Water, Salt, Garlic Powder.",,,,,,,,,,,,,,,x
Garlic & Parsley Spread,"Vegetable Oils (Palm Oil, Rapeseed Oil, Coconut Oil, Palm Stearine), Water, Garlic Puree (14%), Salt, Parsley,Emulsifier: Mono- and Di-Glycerides of Fatty Acids; Preservative: Potassium Sorbate; Natural Colour: BetaCarotene; Natural Butter Flavouring (Milk), Vitamin A, Vitamin D2.",,,,,,,x,,,,,,,,x
Garlic Oil,"Vegetable Oil with Butter Flavouring (Rapeseed Oil, Palm Oil, Salt, Emulsifier: Rapeseed Lecithin, Natural ButterFlavouring (Milk), Natural Colour: Beta Carotene), Italian Style Hard Cheese Blend (Cheese (Milk), Antioxidant:E339), Acidity Regulators: Citric Acid, Acetic Acid; Natural Butter Flavouring, Salt, Natural Colour (Sunflower Oil,Colours: Curcumin, Annatto), Antioxidants: E307, E304), Natural Garlic Flavouring, Stabiliser: Xanthan Gum.",,,,,,,x,,,,,,,,x
Sundried Tomato and Garlic sauce,"Water, Crushed Tomatoes (11%), Rapeseed Oil, Sundried Tomato Puree (7%) (Rapeseed Oil, Sun DriedTomatoes, Water, White Wine Vinegar, Sugar, Salt), Sugar, Modified Maize Starch, Tomato Paste, White WineVinegar, Salt, Onion Powder, Spirit Vinegar, Garlic Puree (Garlic, Acidity Regulator: Citric Acid), Dried Basil, BlackPepper.",,,,,,,,,,,,,,,x
Anchovies,"Anchovy (Fish), Sunflower Oil, Salt",,,x,,,,,,,,,,,,
Chicken,"Chicken Breast, Marinade (Water, Tapioca Starch, Salt, Glucose Syrup, Acidity Regulators: Sodium Citrate,Sodium Bicarbonate).",,,,,,,,,,,,,,,
Chorizo,"Pork, Salt, Spices, Dextrose, Pork Fat, Colour: Paprika Extract; Yeast Extract, Garlic Powder, Antioxidant: E300;Starter Culture, Acidity Regulator: E330; Preservative: E250.",,,,,,,,,,,,,,,
Fajita Seasoning,"Chillies, Salt, Dried Onion, Sugar, Dried Garlic, Cumin, Mustard Flour, Oregano, Natural Lime & Lemon Flavours,Dried Red Peppers, Coriander, Nutmeg, Cinnamon.",,,,,,,,,x,,,,,,x
Feta Cheese,"Sheeps Milk, Goats Milk, Salt, Vegetarian Rennet and Culture",,,,,,,x,,,,,,,,x
Ground Beef,"Beef (82%), Water, Breadcrumbs (Wheat Flour, Water, Salt, Yeast), Salt, Flavour, Pepper, Antioxidant: Citric Acid.",x,,,,,,,,,,,,,,
Ham,"Pork (76%), Water (21%), Salt, Potato Starch, Stabiliser: Triphosphates; Natural Smoke Flavour, Antioxidant:Sodium Ascorbate; Preservative: Sodium Nitrite.",,,,,,,,,,,,,,,
Herbs,"Dried Garlic, Black Pepper, Dried Red Pepper, Dried Onion , Dried Tomato, Sea Salt, Oregano, Marjoram, Basil.",,,,,,,,,,,,,,,x
Jalapeno Peppers,"Jalapeno Peppers, Water, Vinegar, Salt, Acetic Acid, Preservative: Sodium Benzoate; Firming Agent: CalciumChloride.",,,,,,,,,,,,,,,x
Meatballs,"Pork (82%), Breadcrumbs (Wheat Flour, Water, Salt, Yeast), Tomato Puree, Rapeseed Oil, Salt, Dried Onions,Pork Fat, Spices, Sugar, Garlic.",x,,,,,,,,,,,,,,
Mozzarella Cheese Delight,Vegetarian Reduced Fat Mozzarella Cheese (Milk),,,,,,,x,,,,,,,,x
Mozzarella Cheese,Vegetarian Mozzarella Cheese (Milk),,,,,,,x,,,,,,,,x
Mushrooms,Mushrooms,,,,,,,,,,,,,,,x
Olives Black,"Black Olives, Water, Salt, Colour Stabiliser: E579",,,,,,,,,,,,,,,x
Onion Bhaji Bits,"Onion (64%), Rapeseed Oil, Gram Flour (Chickpea Flour, Yellow Pea Flour), Self Raising Flour (Fortified WheatFlour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamine), Raising Agents: Sodium carbonates, Sodiumphosphates), Spices, Salt.",x,,,,,,,,,,,,,,x
Pepperoni,"Pork, Pork Fat, Salt, Pork Rind, Dextrose, Spices, Colour: Paprika Extract; Antioxidant: Sodium Ascorbate; GarlicPowder, Spice Extracts, Herbs, Starter Culture, Preservative: Sodium Nitrite; Acidity Regulator: Citric Acid.",,,,,,,,,,,,,,,
Pineapple,Pineapple,,,,,,,,,,,,,,,x
Red & Green Peppers,"Red Peppers, Green Peppers",,,,,,,,,,,,,,,x
Red Onions,Red Onion,,,,,,,,,,,,,,,x
Salami Ventricina,"Pork, Salt, Spices (Whole and Ground Pepper, Chilli, Sweet Paprika), Skimmed Milk Powder, Dextrose, Fructose,Flavouring: Cream Flavouring, Antioxidant: Sodium Ascorbate, Preservatives: Potassium Nitrate, Sodium Nitrite.",,,,,,,x,,,,,,,,
"Sausage Cumberland (England,Scotland, Wales)","Pork (81%), Wheat Flour, Pork Fat, Water, Salt, Dextrose, Stabiliser: E450i; Preservative: Sodium Sulfite; WhitePepper, Antioxidant: E300; Acidity Regulator: E330; Coriander, Ginger, Mace, Nutmeg, Black Pepper.",x,,,,,,,,,,,x,,,
Sausage (ROI & NI),"Pork (82%), Water, WHEAT rusk, Salt, WHEAT Flour, Dextrose, Stabiliser: E450; Herbs (Thyme, Sage), WhitePepper, Acidity Regulator: E 330; Antioxidant: E 300; Spice Extracts (Nutmeg, Pepper, Mace, Ginger, Coriander).",x,,,,,,,,,,,,,,
Smoky Bacon,"Pork (78%), Water, Salt, Stabilisers: E451, E450, E452; Maltodextrin, Sugar, Antioxidant: E301; Natural Flavouring,Spice Extracts, Preservative: E250.",,,,,,,,,,,,,,,
Spinach Baby Leaf,Spinach,,,,,,,,,,,,,,,x
Sweetcorn,"Sweetcorn, Water, Salt",,,,,,,,,,,,,,,x
Tandoori Chicken,"Chicken Breast , Tandoori Marinade (Modified Tapioca Starch, Sugar, Spice and Spice Extracts (Cumin, Turmeric,Coriander, Cardamom, Ginger, Chilli), Salt, Maltodextrin, Vegetable Powders (Garlic, Onion), Whey Powder(Milk), Acidity Regulators: Citric Acid, Lactic Acid; Yeast Extract, Colours: Carmine, Paprika Extract), Water, CornStarch (contains Sulphur Dioxide), Salt, Tapioca Starch, Stabiliser: E451i, Pepper Extract.",,,,,,,x,,,,,x,,,
Tomatoes Fresh,Tomatoes,,,,,,,,,,,,,,,x
