""
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit
"",*NEW* Hickory Smoked Bacon Sandwich,125,N,N,N,N,N,1170,1463,278,348,7.9,9.9,2.7,3.4,28.5,35.6,2.1,2.6,2.8,3.5,21.9,27.4,2.65,3.30
"",Filled Croissants,,,,,,,,,,,,,,,,,,,,,,,,
"",Croissant Cheddar and Mushroom,156,Y,N,N,N,N,1286,2006,308,480,16,24,10,16,31,49,2.1,3.2,2.0,3.1,9.2,14,1.1,1.8
"",Croissant Ham and Cheese,161,N,N,N,N,N,1293,2082,309,497,15,23,9.2,15,30,48,1.7,2.7,1.7,2.7,14,23,1.7,2.7
"",Toasties,,,,,,,,,,,,,,,,,,,,,,,,
"",Ham and Cheese Toastie,151,N,N,N,N,N,1020,1540,244,368,11,16,6.2,9.3,23,34,1.1,1.6,1.7,2.6,13,20,1.3,1.9
"",Triple Cheese Toastie,136,Y,N,N,N,N,1289,1688,309,405,17,22,10,13,25,33,0.6,0.8,1.7,2.2,13,18,1.1,1.4
"",Mini Cheese and Ham Toastie,126,N,N,N,N,N,1050,1323,252,318,11.5,14.5,6.9,8.7,18.8,23.7,2.4,3.0,1.4,1.8,17.5,22.1,1.81,2.30
"",Bagels,,,,,,,,,,,,,,,,,,,,,,,,
"",Smoked Salmon Bagel,195,N,N,N,N,N,1018,1985,242,472,7.4,14,2.4,4.7,30,58,3.4,6.6,3.1,6,13,24,1.1,2.0
"",Salt Beef Onion Bagel,230,N,N,N,N,N,895,2059,213,490,5.5,13,2.5,5.7,26,60,4.4,10,1.3,3.0,14,32,1.2,2.8
